"user_hll","post_hll","pud_hll","latitude_4","longitude_4","emoji","latlng_geom"
"\x128b7fb76efa30ab03dc8ad7b419774ed5bbd1f480d2be95966fc500f9f6c54a05175a0f89e783eda04edb68f28911182e60d3","\x128b7f8594f75b080599628624129b6b8979d6b237cb00c83b3566c910342b645904c0042067fb41e5de3e09bfd819af3548d060dbf747adf37157","\x128b7f90f8f120574c5dcbb15bac2515001bf5c4d0c7be1bad57b2ca6d3b3e5f25bc56ca8867c7a4b922461136f009a23878fc47a3e324f5a15f73",51.416015625,-0.17578125,"‼️","0101000020E6100000F6798CF2CCCBC8BF4E4354E1CFB94940"
"\x128b7fb3bef3b68b547095","\x128b7f5dc3dbd8c871a605","\x128b7f49369b9483c94a36",51.591796875,0.17578125,"🌍","0101000020E6100000E3EB42DE384AAA3F4650A9D0C8C44940"
"\x128b7fc9daa195a6d28d38","\x128b7fe5dbfff7bd7dc50c","\x128b7f22e57fea50684ea6",44.033203125,10.01953125,"🤪","0101000020E61000001B81785DBF6024403A3B191C25FB4540"
"\x128b7fc9daa195a6d28d38","\x128b7fe5dbfff7bd7dc50c","\x128b7f22e57fea50684ea6",44.033203125,10.01953125,"😛","0101000020E61000001B81785DBF6024403A3B191C25FB4540"
"\x128b7fc9daa195a6d28d38","\x128b7fe5dbfff7bd7dc50c","\x128b7f22e57fea50684ea6",44.033203125,10.01953125,"🥳","0101000020E61000001B81785DBF6024403A3B191C25FB4540"
"\x128b7fda9d8bb0041a85ab","\x128b7f30be01125445b8bd","\x128b7fa6977237b8032a87",52.998046875,-2.63671875,"👍🏻","0101000020E610000021C84109331D04C0BC1FB75F3E884A40"
"\x128b7fb3bef3b68b547095","\x128b7f5dc3dbd8c871a605","\x128b7f49369b9483c94a36",51.591796875,0.17578125,"📈","0101000020E6100000E3EB42DE384AAA3F4650A9D0C8C44940"
"\x128b7f1ac37d76edf834ea","\x128b7fa1199c46903edaa4","\x128b7f1643a534507274d3",50.185546875,14.58984375,"🚗","0101000020E610000000E03BDEA2EF2C40EC11ACA2260D4940"
"\x128b7f038772448821e093","\x128b7f1a20d61f78401a34","\x128b7f6716a3bd071c2bef",50.888671875,0.17578125,"🎈","0101000020E6100000C7F2AE7AC03CCF3FDAE1AFC91A6F4940"
"\x128b7f038772448821e093","\x128b7f1a20d61f78401a34","\x128b7f6716a3bd071c2bef",50.888671875,0.17578125,"🎉","0101000020E6100000C7F2AE7AC03CCF3FDAE1AFC91A6F4940"
