,Occurrence number,Emoji description,Typicality
🖤,5233,:black_heart:,-0.8427311482758111
👇,10278,:backhand_index_pointing_down:,-0.842887093254208
✨,8038,:sparkles:,-0.8431485179063187
🙌,6938,:raising_hands:,-0.8566120866673638
⚽,9353,:soccer_ball:,-0.8577433252431986
💜,9677,:purple_heart:,-0.859225053556828
💚,9462,:green_heart:,-0.8606214735758226
☀️,5968,:sun:,-0.8607882254674581
💛,5546,:yellow_heart:,-0.866058837985507
👌,6787,:OK_hand:,-0.8695363664469123
🤔,5382,:thinking_face:,-0.8728899812783758
😁,3700,:beaming_face_with_smiling_eyes:,-0.8806246146090474
😎,6415,:smiling_face_with_sunglasses:,-0.891868815640427
🥰,8169,:smiling_face_with_hearts:,-0.8949514794988955
😉,8008,:winking_face:,-0.9006007118680753
😊,6889,:smiling_face_with_smiling_eyes:,-0.9096304314389269
🔥,10028,:fire:,-0.9121878797862911
🤣,10843,:rolling_on_the_floor_laughing:,-0.9253067204256347
💪,22483,:flexed_biceps:,-0.9291234922733055
💙,12273,:blue_heart:,-0.9302153919181757
👍,5097,:thumbs_up:,-0.9338027265896531
🙏,8248,:folded_hands:,-0.9349164088475661
👏,23021,:clapping_hands:,-0.936759106399302
🔴,8700,:red_circle:,-0.9431726671028205
😍,26605,:smiling_face_with_heart-eyes:,-0.9538871502718735
😂,18210,:face_with_tears_of_joy:,-0.967804576332461
❤️,33690,:red_heart:,-0.9760381142370327
